,Title,Author,Reviewer,Review Date,Date and Time
323,The Battle of Kursk,David M. Glantz & Jonathan M. House,Andrew Nguyen,26 Sep 2009,2009-09-26 0:00:00
324,The Battle of the Bulge,Wayne Vansant,C. Peter Chen,14 Jan 2015,2015-01-14 0:00:00
325,The Black-Out Book,Evelyn August (Muriel and Sydney Box),C. Peter Chen,3 Mar 2010,2010-03-03 0:00:00
326,The Book Thief,Markus Zusak,C. Peter Chen,14 May 2014,2014-05-14 0:00:00
327,The Boys of Pointe du Hoc,Douglas Brinkley,C. Peter Chen,22 Jul 2015,2015-07-22 0:00:00
328,The Bren Gun,Neil Grant,C. Peter Chen,5 Mar 2014,2014-03-05 0:00:00
329,The British Fleet Air Arm in World War II,Mark Barber,C. Peter Chen,3 Jul 2008,2008-07-03 0:00:00
330,The British Soldier of the Second World War,Peter Doyle,C. Peter Chen,3 Jun 2010,2010-06-03 0:00:00
331,The Burma Campaign: Disaster into Triumph 1942-45,Frank McLynn,C. Peter Chen,25 Feb 2012,2012-02-25 0:00:00
332,The Coldest Winter: America and the Korean War,David Halberstam,C. Peter Chen,9 Sep 2015,2015-09-09 0:00:00
333,The Color of War,James Campbell,C. Peter Chen,14 Jul 2012,2012-07-14 0:00:00
334,The Conquerors,Michael Beschloss,Morgan Bell,19 Jan 2005,2005-01-19 0:00:00
335,The Day of Battle,Rick Atkinson,C. Peter Chen,18 Apr 2011,2011-04-18 0:00:00
336,The Diary of a Young Girl,Anne Frank,C. Peter Chen,4 Nov 2015,2015-11-04 0:00:00
337,The Divine Wind,Rikihei Inoguchi and Tadashi Nakajima,C. Peter Chen,16 Nov 2006,2006-11-16 0:00:00
338,The Dnepr 1943: Hitler's Eastern Rampart Crumbles,Robert Forczyk,Andrew Nguyen,17 Aug 2016,2016-08-17 0:00:00
339,The Doodlebugs: The Story of the Flying Bombs,Norman Longmate,Morgan Bell,19 Jan 2005,2005-01-19 0:00:00
340,The Eagle Has Landed,Jack Higgins,C. Peter Chen,23 Mar 2005,2005-03-23 0:00:00
341,The Eichmann Trial,Deborah Lipstadt,C. Peter Chen,2 Apr 2014,2014-04-02 0:00:00
342,The Encyclopedia of Infantry Weapons of World War II,Ian V. Hogg,C. Peter Chen,15 Oct 2014,2014-10-15 0:00:00
343,The Envoy,Alex Kershaw,C. Peter Chen,20 Jun 2011,2011-06-20 0:00:00
344,The Eternal Nazi,Nicholas Kulish and Souad Mekhennet,C. Peter Chen,9 Mar 2016,2016-03-09 0:00:00
345,The Fall of Berlin,Anthony Read and David Fisher,C. Peter Chen,22 Feb 2006,2006-02-22 0:00:00
346,The Fall of Hitler's Fortress City,Isabel Denny,C. Peter Chen,3 May 2007,2007-05-03 0:00:00
347,The Fall of the Philippines 1941-42,Clayton Chun,C. Peter Chen,29 May 2012,2012-05-29 0:00:00
348,The Few,Alex Kershaw,C. Peter Chen,11 Jan 2011,2011-01-11 0:00:00
349,The Final Crisis,Richard Engler,Thomas Houlihan,21 Apr 2007,2007-04-21 0:00:00
350,The First Heroes,Craig Nelson,C. Peter Chen,26 Nov 2014,2014-11-26 0:00:00
351,The Forgotten 500,Gregory Freeman,C. Peter Chen,1 Nov 2013,2013-11-01 0:00:00
352,The Forgotten Soldier,Guy Sajer,Bryan Hiatt,25 Sep 2005,2005-09-25 0:00:00
353,The FÃ¼hrer's Headquarters,Neil Short,C. Peter Chen,20 Nov 2011,2011-11-20 0:00:00
354,The Generals: American Military Command from World War II to Today,Thomas Ricks,C. Peter Chen,10 Dec 2013,2013-12-10 0:00:00
355,The German Aces Speak,Colin Heaton and Anne-Marie Lewis,C. Peter Chen,24 Mar 2012,2012-03-24 0:00:00
356,The Germans in Normandy,Richard Hargreaves,Thomas Houlihan,6 Jun 2007,2007-06-06 0:00:00
357,The Gestapo: A History of Hitler's Secret Police 1933-45,Rupert Butler,Thomas Houlihan,16 Mar 2007,2007-03-16 0:00:00
358,The Golden Horseshoe,Terence Robertson,Dan K.,4 May 2008,2008-05-04 0:00:00
359,The Great Raid,William Breuer,C. Peter Chen,26 Mar 2014,2014-03-26 0:00:00
360,The Greatest Battle,Andrew Nagorski,C. Peter Chen,28 Nov 2007,2007-11-28 0:00:00
361,The Greatest Generation,Tom Brokaw,C. Peter Chen,16 May 2011,2011-05-16 0:00:00
362,The Greatest Generation,Tom Brokaw,David Stubblebine,15 May 2011,2011-05-15 0:00:00
363,The Greatest Generation Speaks,Tom Brokaw,C. Peter Chen,11 Apr 2015,2015-04-11 0:00:00
364,The Greatest U.S. Marine Corps Stories Ever Told,Iain Martin,C. Peter Chen,11 Jan 2008,2008-01-11 0:00:00
365,The Greatest U.S. Marine Corps Stories Ever Told,Iain Martin,Thomas Houlihan,30 Sep 2010,2010-09-30 0:00:00
366,The Guns at Last Light,Rick Atkinson,C. Peter Chen,6 Aug 2014,2014-08-06 0:00:00
367,The Hare with Amber Eyes: A Hidden Inheritance,Edmund de Waal,C. Peter Chen,27 Apr 2016,2016-04-27 0:00:00
368,The Hiding Place,Corrie Ten Boom with John and Elizabeth Sherrill,C. Peter Chen,5 Jun 2012,2012-06-05 0:00:00
369,The Hitler Book,Henrik Eberle and Matthias Uhl,C. Peter Chen,9 Aug 2010,2010-08-09 0:00:00
370,The Home Guard,Neil R. Storey,C. Peter Chen,16 Oct 2010,2010-10-16 0:00:00
371,The Indestructible Man,Don Keith and David Rocco,David Stubblebine,21 Aug 2019,2019-08-21 0:00:00
372,The Irregulars: Roald Dahl and the British Spy Ring in Wartime Washington,Jennet Conant,C. Peter Chen,7 May 2014,2014-05-07 0:00:00
373,The Last Battle,Stephen Harding,C. Peter Chen,28 May 2014,2014-05-28 0:00:00
374,The Last Battle,Cornelius Ryan,C. Peter Chen,13 Aug 2014,2014-08-13 0:00:00
375,The Last Goodnight,Howard Blum,C. Peter Chen,5 Apr 2017,2017-04-05 0:00:00
376,"The Last Lion: Alone, 1932-1940",William Manchester,C. Peter Chen,4 Aug 2006,2006-08-04 0:00:00
377,"The Last Lion: Defender of the Realm, 1940-1965",William Manchester and Paul Reid,C. Peter Chen,24 Sep 2013,2013-09-24 0:00:00
378,The Last Stand of the Tin Can Sailors,James Hornfischer,C. Peter Chen,29 Dec 2004,2004-12-29 0:00:00
379,The Last Train from Hiroshima,Charles Pellegrino,C. Peter Chen,21 Feb 2010,2010-02-21 0:00:00
380,The Laughing Cow: A U-Boat Captain's Story,Jost Metzler,Dan K.,14 Nov 2012,2012-11-14 0:00:00
381,The Lions of Iwo Jima,Fred Haynes and James Warren,C. Peter Chen,15 May 2013,2013-05-15 0:00:00
382,The Man Who Broke Into Auschwitz,Denis Avey and Rob Broomby,C. Peter Chen,7 Oct 2015,2015-10-07 0:00:00
383,The Man Who Never Was,Ewen Montagu,David Stubblebine,14 Aug 2009,2009-08-14 0:00:00
384,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,William Geroux,C. Peter Chen,9 Mar 2018,2018-03-09 0:00:00
385,The Monuments Men,Robert M. Edsel with Bret Witter,David Stubblebine,22 Apr 2014,2014-04-22 0:00:00
386,The Monuments Men,Robert M. Edsel with Bret Witter,C. Peter Chen,23 Jul 2014,2014-07-23 0:00:00
387,The Most Dangerous Enemy,Stephen Bungay,C. Peter Chen,21 Nov 2010,2010-11-21 0:00:00
388,The Myth of the Eastern Front,Ronald Smelser and Edward J. Davies II,Thomas Houlihan,2 Aug 2008,2008-08-02 0:00:00
389,The Nazi Conscience,Claudia Koonz,Thomas Houlihan,9 Mar 2007,2007-03-09 0:00:00
390,The Night of the Long Knives,Paul Maracin,,8 Sep 2006,2006-09-08 0:00:00
391,The One Man,Andrew Gross,C. Peter Chen,29 Apr 2019,2019-04-29 0:00:00
392,The Pacific,Hugh Ambrose,C. Peter Chen,31 Oct 2011,2011-10-31 0:00:00
393,The Pacific Campaign,Dan van der Vat,C. Peter Chen,28 Jun 2005,2005-06-28 0:00:00
394,The Pacific War: From Pearl Harbor to Hiroshima,Daniel Marston,C. Peter Chen,29 Mar 2010,2010-03-29 0:00:00
395,The Pacific War: From Pearl Harbor to Hiroshima,Daniel Marston,Jimmy Lebel,26 Feb 2011,2011-02-26 0:00:00
396,The Pope and Mussolini,David Kertzer,C. Peter Chen,10 Sep 2014,2014-09-10 0:00:00
397,The Port Chicago 50,Steve Sheinkin,C. Peter Chen,4 May 2016,2016-05-04 0:00:00
398,The Rape of Nanking,Iris Chang,C. Peter Chen,31 Jul 2012,2012-07-31 0:00:00
399,The Rice Paddy Navy: U.S. Sailors Undercover in China,Linda Kush,C. Peter Chen,9 Jan 2015,2015-01-09 0:00:00
400,The Rise and Fall of the Third Reich,William Shirer,Bryan Hiatt,28 Dec 2007,2007-12-28 0:00:00
401,The Rise and Fall of the Third Reich,William Shirer,C. Peter Chen,23 Jan 2012,2012-01-23 0:00:00
402,The Royal Hungarian Army in World War II,Nigel Thomas and Laszlo Pal Szabo,C. Peter Chen,11 Dec 2008,2008-12-11 0:00:00
403,The Secret Holocaust Diaries: The Untold Story of Nonna Bannister,"Nonna Bannister, Carolyn Tomlin, Denise George",C. Peter Chen,8 Jun 2016,2016-06-08 0:00:00
404,The Secret of D-Day,Gilles Perrault,David Stubblebine,31 Jul 2013,2013-07-31 0:00:00
405,The Secret War Against Hitler,William Casey,C. Peter Chen,6 May 2015,2015-05-06 0:00:00
406,The Stalin and Molotov Lines: Soviet Western Defences 1928-41,Neil Short,C. Peter Chen,14 Jul 2014,2014-07-14 0:00:00
407,The Star of Africa: The Story of Hans Marseille,Colin Heaton and Anne-Marie Lewis,C. Peter Chen,25 Feb 2013,2013-02-25 0:00:00
408,The Storm of War: A New History of the Second World War,Andrew Roberts,C. Peter Chen,22 Jan 2013,2013-01-22 0:00:00
409,The Struggle for Guadalcanal,Samuel Eliot Morison,C. Peter Chen,23 Mar 2006,2006-03-23 0:00:00
410,"The Swift and Deadly, Imperial Japanese Navy ... *",,,Mar 1998,
411,The True German: The Diary of a World War II Military Judge,Werner Otto MÃ¼ller-Hill,C. Peter Chen,5 Nov 2013,2013-11-05 0:00:00
412,The Twilight Warriors,Robert Gandt,C. Peter Chen,21 May 2011,2011-05-21 0:00:00
413,The U-Boat War in the Caribbean,Gaylord T. M. Kelshall,David Stubblebine,5 Aug 2015,2015-08-05 0:00:00
414,The US Home Front 1941-45,Alejandro de Quesada,C. Peter Chen,26 Feb 2008,2008-02-26 0:00:00
415,The Volga Rises in Europe,Curzio Malaparte,Dan K.,8 Jun 2008,2008-06-08 0:00:00
416,The War Below: The Story of Three Submarines That Battled Japan,James Scott,C. Peter Chen,18 Mar 2015,2015-03-18 0:00:00
417,"The War: An Intimate History, 1941-1945",Geoffrey C. Ward and Ken Burns,C. Peter Chen,25 Jul 2010,2010-07-25 0:00:00
418,The West Point Atlas of War: World War II: The Pacific,Vincent J. Esposito,C. Peter Chen,16 Jan 2010,2010-01-16 0:00:00
419,The White Rose of Stalingrad,Billy Yenne,Dan K.,19 Nov 2013,2013-11-19 0:00:00
420,The Zookeeper's Wife: A War Story,Diane Ackerman,C. Peter Chen,18 Sep 2010,2010-09-18 0:00:00
421,There Stood a Soldier,Prit S. Buttar,Thomas Houlihan,11 Nov 2010,2010-11-11 0:00:00
422,Thirty Seconds Over Tokyo,Ted W. Lawson,C. Peter Chen,5 Nov 2005,2005-11-05 0:00:00
423,Those Angry Days,Lynne Olson,C. Peter Chen,4 Apr 2014,2014-04-04 0:00:00
424,Tiger Tank: Owners' Workshop Manual,David Fletcher,C. Peter Chen,15 Nov 2013,2013-11-15 0:00:00
425,Tin Can Man,E. J. Jernigan,C. Peter Chen,7 May 2011,2011-05-07 0:00:00
426,To D-Day and Back,Bob Bearden,C. Peter Chen,8 Oct 2007,2007-10-08 0:00:00
427,To D-Day and Back,Bob Beardon,Bryan Hiatt,24 Dec 2011,2011-12-24 0:00:00
428,To Hell and Back,Audie Murphy,C. Peter Chen,15 Feb 2017,2017-02-15 0:00:00
429,To Kingdom Come,Robert J. Mrazek,C. Peter Chen,11 Jun 2011,2011-06-11 0:00:00
430,To Lose a Battle: France 1940,Alistair Horne,Andrew Nguyen,19 Sep 2009,2009-09-19 0:00:00
431,To the Gates of Stalingrad,David M. Glantz & Jonathan M. House,Andrew Nguyen,30 Sep 2009,2009-09-30 0:00:00
432,Tonight We Die as Men,Ian Gardner and Roger Day,C. Peter Chen,15 Apr 2009,2009-04-15 0:00:00
433,Traitor to His Class,H. W. Brands,C. Peter Chen,10 Jul 2012,2012-07-10 0:00:00
434,Truman,David McCullough,C. Peter Chen,7 Nov 2010,2010-11-07 0:00:00
435,Twelve Desperate Miles,Tim Brady,C. Peter Chen,19 Nov 2014,2014-11-19 0:00:00
436,"Two Americans: Truman, Eisenhower and a Dangerous World",William Lee Miller,C. Peter Chen,9 Apr 2014,2014-04-09 0:00:00
437,"Two Americans: Truman, Eisenhower and a Dangerous World",William Lee Miller,C. Peter Chen,3 May 2017,2017-05-03 0:00:00
438,U-Boat Adventures,Melanie Wiggins,Dan K.,10 Nov 2012,2012-11-10 0:00:00
439,Unbroken,Laura Hillenbrand,C. Peter Chen,11 Dec 2012,2012-12-11 0:00:00
440,Undefeated: America's Heroic Fight for Bataan and Corregidor,Bill Sloan,C. Peter Chen,28 Jun 2012,2012-06-28 0:00:00
441,US Navy Aircraft Carriers 1922-45,Mark Stille,Andrew Nguyen,3 Oct 2009,2009-10-03 0:00:00
442,US Navy Aircraft Carriers 1942-45,Mark Stille,Andrew Nguyen,8 Oct 2009,2009-10-08 0:00:00
443,US Navy War Photographs,Edward Steichen,David Stubblebine,24 Mar 2009,2009-03-24 0:00:00
444,US Patrol Torpedo Boats,Gordon L. Rottman,C. Peter Chen,22 Dec 2008,2008-12-22 0:00:00
445,USS Cassin Young (DD-793): A Fletcher Class Destroyer,J. Scott Harmon,Andrew Nguyen,18 Jun 2013,2013-06-18 0:00:00
446,Valkyrie,Philip von Boeselager,C. Peter Chen,15 Jan 2014,2014-01-15 0:00:00
447,Vanguard of the Crusade,Mark Bando,Thomas Houlihan,14 Apr 2007,2007-04-14 0:00:00
448,VF-11/111 'Sundowners' 1942-95,Barrett Tillman with Henk van der Lugt,David Stubblebine,11 Jun 2014,2014-06-11 0:00:00
449,Vinegar Joe's War,Nathan N. Prefer,C. Peter Chen,21 Nov 2005,2005-11-21 0:00:00
450,"Voices of Valor: D-Day, June 6, 1944",Douglas Brinkley and Ronald Drez,C. Peter Chen,24 Jul 2013,2013-07-24 0:00:00
451,Waffen-SS: Hitler's Elite Guard at War 1939-1945,George H. Stein,Thomas Houlihan,8 Mar 2007,2007-03-08 0:00:00
452,Walking Away From the Reich,Claus Sellier,Dan K.,1 Apr 2008,2008-04-01 0:00:00
453,War Beneath the Waves,Don Keith,C. Peter Chen,30 Jun 2010,2010-06-30 0:00:00
454,War in Pacific Skies,Charlie and Ann Cooper,C. Peter Chen,12 Mar 2011,2011-03-12 0:00:00
455,War in the Pacific,Richard Overy,C. Peter Chen,12 Apr 2010,2010-04-12 0:00:00
456,Warpath Across the Pacific,Lawrence J. Hickey,David Stubblebine,10 Apr 2012,2012-04-10 0:00:00
457,Warship 2009,Anthony Preston,C. Peter Chen,12 Oct 2009,2009-10-12 0:00:00
458,Warship 2011,John Jordan,C. Peter Chen,24 Aug 2011,2011-08-24 0:00:00
459,Warship 2013,John Jordan,C. Peter Chen,15 Oct 2013,2013-10-15 0:00:00
460,Warship Pictorial #13: IJN Kongo Class Battle... *,,Quinn Bracken,Summer 2002,
461,Warship Pictorial #17: IJN Myoko Class Cruise... *,,Quinn Bracken,Summer 2002,
462,Warship Pictorial #25: IJN Yamato Class Battl... *,,Quinn Bracken,Spring 2004,
463,Wartime,Paul Fussell,Bryan Hiatt,21 Aug 2005,2005-08-21 0:00:00
464,Washington Goes to War,David Brinkley,C. Peter Chen,9 Mar 2008,2008-03-09 0:00:00
465,We Came to Fight a War,Jack Flynn,Dan K.,15 Apr 2010,2010-04-15 0:00:00
466,When the Emperor Was Divine,Julie Otsuka,C. Peter Chen,16 Apr 2014,2014-04-16 0:00:00
467,When Titans Clashed,David M. Glantz and Jonathan M. House,Andrew Nguyen,22 Jun 2016,2016-06-22 0:00:00
468,Whirlwind: The Air War Against Japan 1942-1945,Barrett Tillman,C. Peter Chen,9 May 2010,2010-05-09 0:00:00
469,White Mammoths,Alexander Poliakov,Dan K.,9 Jan 2010,2010-01-09 0:00:00
470,With the Old Breed: At Peleliu and Okinawa,Eugene B. Sledge,Bryan Hiatt,25 Jul 2005,2005-07-25 0:00:00
471,With the Old Breed: At Peleliu and Okinawa,Eugene B. Sledge,Jimmy Lebel,5 Nov 2010,2010-11-05 0:00:00
472,With Wings Like Eagles,Michael Korda,C. Peter Chen,21 Oct 2015,2015-10-21 0:00:00
473,World War II Airmen,Various,C. Peter Chen,16 Dec 2015,2015-12-16 0:00:00
474,World War II Axis Booby Traps and Sabotage Tactics,Gordon Rottman,C. Peter Chen,18 Aug 2009,2009-08-18 0:00:00
475,World War II Japanese Tank Tactics,Gordon Rottman and Akira Takizawa,C. Peter Chen,20 Mar 2009,2009-03-20 0:00:00
476,World War II US Cavalry Units: Pacific Theater,Gordon L. Rottman,C. Peter Chen,27 Oct 2009,2009-10-27 0:00:00
477,World War II Wrecks of the Truk Lagoon *,,,Mar 2001,
478,WWII Memorial: Jewel of the Mall,Stephen Brown,Bryan Hiatt,3 Sep 2008,2008-09-03 0:00:00
479,Yang Dapeng: Remembrance of a Martyr in Nanjing 1937,Shu-Chin Yang,C. Peter Chen,9 Feb 2018,2018-02-09 0:00:00
480,Year Zero: A History of 1945,Ian Buruma,C. Peter Chen,15 Dec 2017,2017-12-15 0:00:00
481,Young Stalin,Simon Sebag Montefiore,C. Peter Chen,23 May 2011,2011-05-23 0:00:00
482,Zhukov at the Oder,Tony Le Tissier,Andrew Nguyen,13 Jul 2016,2016-07-13 0:00:00
483,"11 Days in December: Christmas at the Bulge, 1944",Stanley Weintraub,C. Peter Chen,11 Feb 2015,2015-02-11 0:00:00