,Event,Date
0,Treaty of Rapallo,16 Apr 1922
1,Treaty of Berlin,24 Apr 1926
2,Jinan Incident,3 May 1928
3,Second London Naval Conference,21 Jan 1930 - 22 Apr 1930
4,Xinjiang Wars,20 Feb 1931 - 30 Oct 1937
5,Mukden Incident,18 Sep 1931 - 19 Sep 1931
6,Battle of Qiqihar,4 Nov 1931 - 18 Nov 1931
7,Battle of Jinzhou,21 Dec 1931 - 3 Jan 1932
8,Battle of Harbin and Establishment of Manchukuo,25 Jan 1932 - 4 Feb 1932
9,First Battle of Shanghai,28 Jan 1932 - 8 Mar 1932
10,First Battle of Hebei,1 Jan 1933 - 22 May 1933
11,The Reichstag Fire,27 Feb 1933
12,Balkan Pact,9 Feb 1934
13,Japan's Refusal of Washington Treaty,19 Dec 1934
14,Anglo-German Naval Agreement,18 Jun 1935
15,Invasion of Abyssinia,3 Oct 1935 - 5 May 1936
16,Third London Naval Conference,9 Dec 1935 - 25 Mar 1936
17,Hoare-Laval Pact,10 Dec 1935
18,Re-militarization of Rhineland,7 Mar 1936
19,Tauran Incident,11 Mar 1936
20,The Spanish Civil War,17 Jul 1936 - 4 Apr 1939
21,Battle of Suiyuan,20 Oct 1936 - 17 Nov 1936
22,Anti-Comintern Pact,25 Nov 1936
23,Xi'an Incident,12 Dec 1936 - 24 Dec 1936
24,Lugou Bridge Incident and Second Battle of Hebei,7 Jul 1937 - 8 Aug 1937
25,Battle of Chahar,1 Aug 1937 - 12 Aug 1937
26,Beiping-Hankou Railway and Tianjin-Pukou Railway Operations,1 Aug 1937 - 31 Dec 1937
27,Second Battle of Shanghai,13 Aug 1937 - 9 Nov 1937
28,"Bombing of Shanghai, Chongqing, and other Cities",15 Aug 1937 - 23 Aug 1943
29,Battle of Shanxi,1 Sep 1937 - 11 Nov 1937
30,Hossbach Conference,5 Nov 1937
31,Battle of Nanjing and the Rape of Nanjing,9 Dec 1937 - 31 Jan 1938
32,Burma Road and the Hump,1 Jan 1938 - 10 Nov 1945
33,Henan Campaign,7 Feb 1938 - 10 Jun 1938
34,Annexation of Austria,12 Mar 1938 - 10 Apr 1938
35,Meeting at Brenner Pass,18 Mar 1938
36,Battle of Xuzhou,24 Mar 1938 - 1 May 1938
37,Battle of Xiamen,10 May 1938 - 12 May 1938
38,Battle of Wuhan,11 Jun 1938 - 27 Oct 1938
39,Battle of Lake Khasan,29 Jul 1938 - 11 Aug 1938
40,Munich Conference and the Annexation of Sudetenland,29 Sep 1938 - 10 Oct 1938
41,Guangdong Operation,12 Oct 1938 - 31 Dec 1938
42,The Danzig Crisis,24 Oct 1938 - 29 Aug 1939
43,First Vienna Arbitration,2 Nov 1938
44,Kristallnacht,9 Nov 1938 - 11 Nov 1938
45,Battle of Hainan,9 Feb 1939 - 12 Feb 1939
46,Dismemberment of Czechoslovakia,14 Mar 1939 - 17 Mar 1939
47,Battle of Nanchang,17 Mar 1939 - 9 May 1939
48,Annexation of Klaipeda,22 Mar 1939
49,The Slovak-Hungarian War,23 Mar 1939 - 31 Mar 1939
50,Invasion of Albania,7 Apr 1939 - 12 Apr 1939
51,Battle of Suixian-Zaoyang,20 Apr 1939 - 24 May 1939
52,Battle of Khalkhin Gol,11 May 1939 - 31 Aug 1939
53,The Pact of Steel,22 May 1939
54,Tianjin Incident,14 Jun 1939 - 20 Aug 1939
55,Churchill's Tour of the Maginot Line,16 Aug 1939
56,Molotov-Ribbentrop Pact,23 Aug 1939
57,Polish-British Common Defense Pact,25 Aug 1939
58,Operation Peking,29 Aug 1939 - 1 Sep 1939
59,Invasion of Poland,1 Sep 1939 - 6 Oct 1939
60,Start of the Battle of the Atlantic,3 Sep 1939 - 30 Jun 1940
61,British Pet Massacre,3 Sep 1939 - 11 May 1941
62,United States Neutrality Patrol,5 Sep 1939 - 11 Dec 1941
63,First Battle of Changsha,17 Sep 1939 - 6 Oct 1939
64,Gestapo-NKVD Conferences,27 Sep 1939 - 31 Mar 1940
65,The Winter War,30 Nov 1939 - 13 Mar 1940
66,Winter Offensive,1 Dec 1939 - 30 Mar 1940
67,Battle of the River Plate,13 Dec 1939 - 17 Dec 1939
68,"Deportation of Caucasian, Altaic, and Turkish Peoples",1 Jan 1940 - 29 Dec 1944
69,Enigma Code Broken,14 Jan 1940
70,Battle of Wuyuan,28 Jan 1940 - 3 Apr 1940
71,Altmark Incident,16 Feb 1940
72,Katyn Massacre and Related Atrocities,3 Apr 1940 - 19 May 1940
73,Invasion of Denmark and Norway,9 Apr 1940 - 10 Jun 1940
74,Battle of Zaoyang-Yichang,1 May 1940 - 18 Jun 1940
75,Invasion of France and the Low Countries,10 May 1940 - 22 Jun 1940
76,Invasion and Occupation of Iceland,10 May 1940 - 31 Dec 1945
77,Anti-Italian Riots,10 Jun 1940
78,Malta Campaign,11 Jun 1940 - 31 Dec 1942
79,Annexation of the Baltic States,15 Jun 1940 - 9 Aug 1940
80,The French Resistance,22 Jun 1940 - 28 Aug 1944
81,Soviet Demands on Romania and the Second Vienna Arbitration,27 Jun 1940 - 30 Aug 1940
82,First Happy Time,1 Jul 1940 - 31 Oct 1940
83,Bombing of Cities in France and Low Countries,1 Jul 1940 - 7 May 1945
84,British Attacks on the French Fleet,3 Jul 1940 - 25 Sep 1940
85,Battle of Britain,10 Jul 1940 - 31 Oct 1940
86,Two-Ocean Navy Act,19 Jul 1940
87,Invasion of British Somaliland,3 Aug 1940 - 19 Aug 1940
88,Hundred Regiments Offensive,20 Aug 1940 - 30 Sep 1940
89,Invasion of Egypt,9 Sep 1940 - 16 Sep 1940
90,Indochina Campaign,23 Sep 1940 - 26 Sep 1940
91,The Tripartite Pact,27 Sep 1940
92,Franco-Thai War,1 Oct 1940 - 31 Jan 1941
93,Battle of Huangqiao,4 Oct 1940 - 10 Oct 1940
94,Meeting at Hendaye,23 Oct 1940
95,Battle of Gabon,27 Oct 1940 - 12 Nov 1940
96,Balkans Campaign,28 Oct 1940 - 1 Jun 1941
97,Attack on Taranto,11 Nov 1940 - 12 Nov 1940
98,Battle of Han River,25 Nov 1940 - 30 Nov 1940
99,Operation Compass,8 Dec 1940 - 9 Feb 1941
100,New Fourth Army incident,5 Jan 1941 - 13 Jan 1941
101,Battle of Kufra,6 Jan 1941 - 1 Mar 1941
102,Invasion of Italian East Africa,19 Jan 1941 - 16 May 1941
103,Operation Berlin,22 Jan 1941 - 22 Mar 1941
104,ABC-1 Conference,29 Jan 1941 - 30 Mar 1941
105,Battle of South Henan,30 Jan 1941 - 1 Mar 1941
106,Operation Sonnenblume,8 Feb 1941 - 6 May 1941
107,Operation Colossus,10 Feb 1941
108,Merano Conference,13 Feb 1941 - 14 Feb 1941
109,Battle of Giarabub,21 Mar 1941 - 23 Mar 1941
110,Battle of Matapan,27 Mar 1941 - 29 Mar 1941
111,Campaigns in the Middle East,2 Apr 1941 - 30 Aug 1941
112,Siege of Tobruk,10 Apr 1941 - 27 Nov 1941
113,Soviet-Japanese Neutrality Pact,13 Apr 1941
114,Bardia Raid,19 Apr 1941 - 20 Apr 1941
115,Battle of South Shanxi,7 May 1941 - 27 May 1941
116,Operation Brevity,15 May 1941 - 16 May 1941
117,Battle of Denmark Strait,24 May 1941
118,Operation Battleaxe,15 Jun 1941 - 17 Jun 1941
119,Operation Silver Fox,22 Jun 1941 - 22 Sep 1941
120,Operation Barbarossa,22 Jun 1941 - 30 Sep 1941
121,Siege of Odessa,8 Aug 1941 - 16 Oct 1941
122,Atlantic Charter Conference,9 Aug 1941 - 12 Aug 1941
123,Arctic Convoys,21 Aug 1941 - 30 May 1945
124,Siege of Leningrad,4 Sep 1941 - 27 Jan 1944
125,Second Battle of Changsha,6 Sep 1941 - 8 Oct 1941
126,First Moscow Conference,29 Sep 1941 - 1 Oct 1941
127,Battle of Moscow,30 Sep 1941 - 7 Jan 1942
128,First Battle of Kharkov,20 Oct 1941 - 24 Oct 1941
129,Battle of Sevastopol,30 Oct 1941 - 4 Jul 1942
130,Operation Crusader,18 Nov 1941 - 14 Dec 1941
131,Attack on Pearl Harbor,7 Dec 1941
132,Invasion of the Philippine Islands,7 Dec 1941 - 5 May 1942
133,Invasion of Guam,8 Dec 1941 - 10 Dec 1941
134,Battle of Hong Kong,8 Dec 1941 - 25 Dec 1941
135,Invasion of Malaya and Singapore,8 Dec 1941 - 15 Feb 1942
136,Battle of Wake Island,11 Dec 1941 - 23 Dec 1941
137,Battle of Cape Bon,13 Dec 1941
138,Invasion of Burma,14 Dec 1941 - 26 May 1942
139,"Dutch East Indies Campaign, Borneo",15 Dec 1941 - 1 Apr 1942
140,Underwater Raid of Alexandria,19 Dec 1941
141,First Washington Conference,22 Dec 1941 - 14 Jan 1942
142,Third Battle of Changsha,24 Dec 1941 - 15 Jan 1942
143,Internment of Japanese-Americans and Japanese-Canadians,1 Jan 1942 - 1 Apr 1949
144,Rzhev-Vyazma Offensive and the Demyansk Pocket,9 Jan 1942 - 5 May 1942
145,"Dutch East Indies Campaign, Celebes and Moluccas",11 Jan 1942 - 31 Jul 1942
146,Second Happy Time,14 Jan 1942 - 31 Aug 1942
147,Wannsee Conference,20 Jan 1942
148,"New Guinea-Papua Campaign, Phase 1, Bismarck Islands",20 Jan 1942 - 24 Jan 1942
149,"Dutch East Indies Campaign, Java",4 Feb 1942 - 31 Mar 1942
150,Operation Cerberus,11 Feb 1942 - 13 Feb 1942
151,"Dutch East Indies Campaign, Sumatra",13 Feb 1942 - 28 Mar 1942
152,Caribbean Sea and Gulf of Mexico Campaigns,16 Feb 1942 - 1 Jan 1944
153,Attack on Darwin,19 Feb 1942
154,"Bombing of Rome, Naples, and Other Cities",2 Mar 1942 - 30 Sep 1943
155,"New Guinea-Papua Campaign, Phase 2",8 Mar 1942 - 4 Mar 1943
156,Fall of the Andaman and Nicobar Islands,23 Mar 1942
157,Raid on Saint-Nazaire,28 Mar 1942
158,"Bombing of Hamburg, Dresden, and Other Cities",28 Mar 1942 - 3 Apr 1945
159,Raids into the Indian Ocean,31 Mar 1942 - 9 Apr 1942
160,Doolittle Raid,18 Apr 1942
161,Madagascar Campaign,5 May 1942 - 5 Nov 1942
162,Battle of Coral Sea,7 May 1942 - 8 May 1942
163,Second Battle of Kharkov,12 May 1942 - 28 May 1942
164,Zhejiang-Jiangxi Campaign,15 May 1942 - 15 Sep 1942
165,Battle of Gazala,26 May 1942 - 21 Jun 1942
166,Battle of Midway and the Aleutian Islands,4 Jun 1942 - 7 Jun 1942
167,Lidice Massacre,9 Jun 1942 - 10 Jun 1942
168,Second Washington Conference,20 Jun 1942 - 23 Jun 1942
169,Battle of Mersa Matruh,23 Jun 1942 - 28 Jun 1942
170,First Battle of El Alamein,1 Jul 1942 - 27 Jul 1942
171,Battle of Stalingrad,17 Jul 1942 - 2 Feb 1943
172,Caucasus Campaign,23 Jul 1942 - 9 Oct 1943
173,Guadalcanal Campaign,7 Aug 1942 - 9 Feb 1943
174,Second Moscow Conference,12 Aug 1942 - 17 Aug 1942
175,Makin Island Raid,17 Aug 1942 - 18 Aug 1942
176,Attack on Dieppe,18 Aug 1942 - 19 Aug 1942
177,Solomon Islands Campaign,23 Aug 1942 - 25 Dec 1943
178,Battle of Alam el Halfa,30 Aug 1942 - 5 Sep 1942
179,Laconia Incident,12 Sep 1942 - 17 Sep 1942
180,Raids in Libya,13 Sep 1942 - 19 Sep 1942
181,Cherchell Conference,21 Oct 1942 - 22 Oct 1942
182,Second Battle of El Alamein,23 Oct 1942 - 11 Nov 1942
183,Operation Torch,8 Nov 1942 - 16 Nov 1942
184,Advance into Tunisia,10 Nov 1942 - 25 Dec 1942
185,Battle of Brisbane,26 Nov 1942 - 27 Nov 1942
186,Scuttling of the French Fleet,27 Nov 1942
187,Invasion of French Somaliland,1 Dec 1942 - 31 Jan 1943
188,First Battle of Arakan,21 Dec 1942 - 3 Apr 1943
189,Battle of the Barents Sea,31 Dec 1942
190,Casablanca Conference,14 Jan 1943
191,Battle of FaÃ¯d Pass and Sidi Bouzid,30 Jan 1943 - 17 Feb 1943
192,Operation Longcloth,8 Feb 1943 - 27 Apr 1943
193,Third Battle of Kharkov,16 Feb 1943 - 15 Mar 1943
194,Battle of Kasserine Pass,19 Feb 1943 - 25 Feb 1943
195,Battle of Medenine,6 Mar 1943 - 10 Mar 1943
196,Operation Creek,9 Mar 1943
197,Operations Pugilist and Supercharge II,19 Mar 1943 - 31 Mar 1943
198,Khatyn Massacre,22 Mar 1943
199,Battle of El Guettar,23 Mar 1943 - 7 Apr 1943
200,Aleutian Islands Campaign,26 Mar 1943 - 16 Aug 1943
201,The Davao Escape,4 Apr 1943
202,Battle of Wadi Akarit,6 Apr 1943 - 7 Apr 1943
203,Conclusion of the Desert War,7 Apr 1943 - 13 May 1943
204,Bermuda Conference,19 Apr 1943
205,Warsaw Ghetto Uprising,19 Apr 1943 - 16 May 1943
206,Black May,29 Apr 1943 - 24 May 1943
207,Operation Mincemeat,30 Apr 1943
208,Battle of Exi,5 May 1943 - 11 Jun 1943
209,Trident Conference,12 May 1943 - 25 May 1943
210,Dambuster Raid,17 May 1943
211,Raid on Gorkiy,4 Jun 1943 - 1 Jul 1943
212,Battle of Pantelleria and Pelagie Islands,8 Jun 1943 - 13 Jun 1943
213,Battle of Kursk,4 Jul 1943 - 13 Jul 1943
214,Invasion of Sicily and Italy's Surrender,10 Jul 1943 - 3 Sep 1943
215,Operation Tidal Wave,1 Aug 1943
216,Battle of Belgorod,3 Aug 1943 - 14 Aug 1943
217,Fourth Battle of Kharkov,12 Aug 1943 - 23 Aug 1943
218,Quadrant Conference,14 Aug 1943 - 24 Aug 1943
219,Operation Avalanche,3 Sep 1943 - 17 Sep 1943
220,Dodecanese Campaign,8 Sep 1943 - 20 Nov 1943
221,Operation Eiche,12 Sep 1943
222,Naples Uprising,27 Sep 1943 - 30 Sep 1943
223,"New Guinea-Papua Campaign, Phase 3",30 Sep 1943 - 23 May 1945
224,Advance to the Gustav Line,3 Oct 1943 - 15 Jan 1944
225,Battle of the Black Sea,6 Oct 1943
226,Third Moscow Conference,18 Oct 1943 - 10 Nov 1943
227,Weather Station Kurt,22 Oct 1943 - 23 Oct 1943
228,Battle of Changde,2 Nov 1943 - 20 Dec 1943
229,Erntefest Massacre,3 Nov 1943 - 4 Nov 1943
230,Battle of Kiev,3 Nov 1943 - 10 Dec 1943
231,Greater East Asia Conference,5 Nov 1943 - 6 Nov 1943
232,Gilbert Islands Campaign,13 Nov 1943 - 24 Nov 1943
233,Cairo Conference,22 Nov 1943 - 26 Nov 1943
234,Tehran Conference,28 Nov 1943 - 1 Dec 1943
235,Second Cairo Conference,4 Dec 1943 - 6 Dec 1943
236,Battle of the North Cape,26 Dec 1943
237,Second Battle of Arakan,30 Dec 1943 - 6 Apr 1944
238,Battle of Monte Cassino,17 Jan 1944 - 18 May 1944
239,Anzac Conference,19 Jan 1944 - 21 Jan 1944
240,Battle of Anzio,22 Jan 1944 - 4 Jun 1944
241,Marshall Islands Campaign,29 Jan 1944 - 21 Feb 1944
242,Operation Kutschera,1 Feb 1944
243,Attack on Truk,16 Feb 1944 - 18 Feb 1944
244,Operation Thursday,5 Mar 1944 - 27 Aug 1944
245,Battle of Imphal-Kohima,8 Mar 1944 - 3 Jul 1944
246,Battle of Myitkyina,10 Mar 1944 - 3 Aug 1944
247,Salween Offensive,1 Apr 1944 - 27 Jan 1945
248,Jassy-Kishinev Offensive and Romania's Surrender,8 Apr 1944 - 26 Sep 1944
249,Operation Cockpit and Operation Transom,19 Apr 1944 - 17 May 1944
250,Operation Ichigo,19 Apr 1944 - 31 Dec 1944
251,Exercise Tiger,22 Apr 1944 - 28 Apr 1944
252,Deportation of Crimean Tatars,18 May 1944 - 1 Jun 1944
253,Operation Frantic,2 Jun 1944 - 22 Sep 1944
254,The Capture of the U-505,4 Jun 1944 - 17 Jun 1944
255,Advance to the Gothic Line,4 Jun 1944 - 31 Jul 1944
256,"Normandy Campaign, Phase 1",6 Jun 1944 - 24 Jul 1944
257,Conclusion of the Battle of the Atlantic,25 May 1943 - 8 May 1945
258,Mariana Islands Campaign and the Great Turkey Shoot,13 Jun 1944 - 10 Aug 1944
259,V-Weapons Campaign,13 Jun 1944 - 30 Mar 1945
260,Battle of Tali-Ihantala and Battle of Vuosalmi,21 Jun 1944 - 17 Jul 1944
261,Operation Bagration,22 Jun 1944 - 29 Aug 1944
262,Port Chicago Naval Munitions Explosion,17 Jul 1944
263,July Plot,20 Jul 1944 - 21 Jul 1944
264,Discovery of Concentration Camps and the Holocaust,24 Jul 1944 - 29 Apr 1945
265,"Normandy Campaign, Phase 2",25 Jul 1944 - 22 Aug 1944
266,Pacific Strategy Conference,26 Jul 1944 - 27 Jul 1944
267,Warsaw Uprising,1 Aug 1944 - 2 Oct 1944
268,Brittany Campaign,1 Aug 1944 - 11 May 1945
269,Operation Aphrodite and Operation Anvil,4 Aug 1944 - 1 Jan 1945
270,The Cowra Breakout,5 Aug 1944
271,Invasion of Southern France,15 Aug 1944 - 15 Sep 1944
272,Liberation of Paris,25 Aug 1944
273,Gothic Line Offensive,25 Aug 1944 - 17 Dec 1944
274,Bulgaria Switched Sides,26 Aug 1944 - 8 Sep 1944
275,Slovak National Uprising,29 Aug 1944 - 28 Oct 1944
276,Liberation of Belgium,2 Sep 1944 - 2 Nov 1944
277,Finland Switched Sides,4 Sep 1944 - 15 Sep 1944
278,Octagon Conference,11 Sep 1944 - 16 Sep 1944
279,Belgrade Strategic Offensive Operation,14 Sep 1944 - 24 Nov 1944
280,Palau Islands and Ulithi Islands Campaigns,15 Sep 1944 - 1 Dec 1944
281,Battle of Morotai,15 Sep 1944 - 14 Jan 1945
282,Operation Market Garden,17 Sep 1944 - 25 Sep 1944
283,Battle of HÃ¼rtgen Forest,19 Sep 1944 - 10 Feb 1945
284,Battle of the Scheldt Estuary,2 Oct 1944 - 8 Nov 1944
285,Fourth Moscow Conference,9 Oct 1944 - 19 Oct 1944
286,Nemmersdorf Massacre,22 Oct 1944
287,"Philippines Campaign, Phase 1, the Leyte Campaign",22 Oct 1944 - 21 Dec 1944
288,Budapest Strategic Offensive Operation,29 Oct 1944 - 13 Feb 1945
289,Battle of Bhamo,14 Nov 1944 - 14 Dec 1944
290,Battle of Monte Castello,25 Nov 1944 - 22 Feb 1945
291,Third Battle of Arakan,12 Dec 1944 - 28 Feb 1945
292,"Philippines Campaign, Phase 2",12 Dec 1944 - 15 Aug 1945
293,Battle of the Bulge,16 Dec 1944 - 28 Jan 1945
294,Typhoon Cobra,18 Dec 1944
295,Battle of Garfagnana,26 Dec 1944 - 28 Dec 1944
296,Raid into the South China Sea,10 Jan 1945 - 20 Jan 1945
297,Vistula-Oder Offensive,12 Jan 1945 - 2 Feb 1945
298,Fifth Moscow Conference,13 Jan 1945
299,East Prussian Offensive,13 Jan 1945 - 26 Apr 1945
300,Battle of Meiktila-Mandalay,19 Jan 1945 - 29 Mar 1945
301,Advance to the Rhine,20 Jan 1945 - 25 Mar 1945
302,Malta Conference,30 Jan 1945 - 3 Feb 1945
303,Yalta Conference,4 Feb 1945 - 11 Feb 1945
304,Silesian Offensive and the Siege of Breslau,8 Feb 1945 - 6 May 1945
305,Battle of Iwo Jima,19 Feb 1945 - 26 Mar 1945
306,Bombing of Tokyo and Other Cities,19 Feb 1945 - 10 Aug 1945
307,East Pomeranian Offensive,24 Feb 1945 - 4 Apr 1945
308,Crossing the Rhine,22 Mar 1945 - 1 Apr 1945
309,Fall of the Ruhr,25 Mar 1945 - 18 Apr 1945
310,Southern Germany Campaign,28 Mar 1945 - 2 May 1945
311,Okinawa Campaign,1 Apr 1945 - 21 Jun 1945
312,Battle of Zhijiang,1 Apr 1945 - 30 Jun 1945
313,Battle of Vienna,2 Apr 1945 - 13 Apr 1945
314,Georgian Texel Uprising,6 Apr 1945 - 20 May 1945
315,Operation Grapeshot and Operation Roast,9 Apr 1945 - 2 May 1945
316,Borneo Campaign,11 Apr 1945 - 15 Aug 1945
317,Battle of Berlin,16 Apr 1945 - 2 May 1945
318,Battle of Rangoon,25 Apr 1945 - 6 May 1945
319,Battles of Collecchio and Fornovo di Taro,26 Apr 1945 - 29 Apr 1945
320,"Operations Manna, Chowhound, and Faust",29 Apr 1945 - 10 May 1945
321,Prague Strategic Offensive,6 May 1945 - 11 May 1945
322,Germany's Surrender,7 May 1945
323,Typhoon Connie,5 Jun 1945
324,Preparations for Invasion of Japan,14 Jul 1945 - 9 Aug 1945
325,Operation Trinity and Manhattan Project,16 Jul 1945
326,Potsdam Conference,16 Jul 1945 - 26 Jul 1945
327,Atomic Bombing of Hiroshima and Nagasaki,6 Aug 1945 - 9 Aug 1945
328,Manchurian Strategic Offensive,9 Aug 1945 - 2 Sep 1945
329,Japan's Surrender,14 Aug 1945 - 2 Sep 1945
330,Nuremberg Trials and Other Trials Against Germany,18 Oct 1945 - 13 Apr 1949
331,Tokyo Trial and Other Trials Against Japan,3 May 1946 - 12 Nov 1948
332,Paris Peace Conference,29 Jul 1946 - 15 Oct 1946
333,San Francisco Peace Conference,8 Sep 1951
334,The Treaty of Versailles,28 Jun 1919
335,The Treaty of Versailles,28 Jun 1919
